patent_id,title,abstract,patent_date,organization
11214240,Electric oil pump system,"An electric oil pump system allows the cooling of an electric oil pump (EOP) and an oil pump controller (OPU) to be performed efficiently in the vehicle equipped with the electric oil pump. An electric oil pump of the system includes a pumping part that is operated by power of a motor to suction and direct pressurized oil. An oil pump controller operates the electric oil pump. A water-cooled cooling apparatus cools the oil pump controller using coolant and an oil-cooled cooling apparatus cools the electric oil pump using oil. The coolant of the water-cooled cooling apparatus and the oil of the oil-cooled cooling apparatus pass through a heat exchanger and as the coolant and oil pass therethrough, heat exchange is achieved.",2022-01-04,"Kia Motors Corporation, Hyundai Motor Company"
11214241,Vehicle power supply apparatus,"A vehicle power supply apparatus includes first and second power supply systems, first and second switches, first and second switch controllers, a generator motor controller, an engine controller, and an idling stop determination unit. The idling stop determination unit determines whether or not to inhibit an idling stop control on the basis of a current of an first electrical energy accumulator of the first power supply system, a current of a second electrical energy accumulator of the second power supply system, or a voltage of a generator motor of the second power supply system, or any combination thereof, while recognizing a third control signal to be transmitted to the generator motor, a first control signal to be transmitted to the first switch, and a second control signal to be transmitted to the second switch.",2022-01-04,SUBARU CORPORATION
11214242,Hybrid powertrain with two electric machines and an internal combustion engine,"A drive train for a hybrid motor vehicle having a gearbox input shaft operatively connected to a first electric machine and an internal combustion engine via a first partial drive train to transmit torque and which is operatively connected to a second electric machine via a second partial drive train to transmit torque. The second electric machine is permanently connected to the gearbox input shaft for torque transmission and the first electric machine and the internal combustion engine can be connected to the gearbox input shaft in a coupleable manner to transmit torque. The first electric machine and the second electric machine are arranged coaxially to one another, and driven shaft of the first electric machine is arranged radially inside a driven shaft of the second electric machine. The driven shaft of the first electric machine is mounted on the driven shaft of the second electric machine via a bearing.",2022-01-04,Volkswagen AG
11214243,Vehicle and control method thereof,"A vehicle includes: a motive power generating device that includes a multi-cylinder engine and outputs driving power to a wheel; an exhaust gas control apparatus including a catalyst that removes harmful components of exhaust gas from the multi-cylinder engine; and a controller. The controller is configured to, upon request for raising the temperature of the catalyst during load operation of the multi-cylinder engine, execute catalyst temperature raising control that involves stopping fuel supply to at least one of cylinders and supplying fuel to the other cylinders than the at least one cylinder, and to control the motive power generating device so as to cover a driving power shortage resulting from execution of the catalyst temperature raising control.",2022-01-04,TOYOTA JIDOSHA KABUSHIKI KAISHA
11214244,Vehicle collision avoidance control device and method for controlling same,"The present disclosure provides a vehicle collision avoidance control device including: at least one first sensor configured to sense a first direction of a driver vehicle and to sense a first target vehicle in the first direction of the driver vehicle; at least one second sensor configured to sense a second direction that is opposite to the first direction of the driver vehicle and to sense a second target vehicle in the second direction of the driver vehicle; and a controller configured to output a vehicle control signal at least partially on the basis of processing of the first sensor and the second sensor, wherein the controller is configured to generate a primary vehicle control signal for avoiding a primary collision when a primary collision with the first target vehicle is predicted according to a first direction sensing result by the at least one first sensor, to modify the primary vehicle control signal into a secondary vehicle control signal on the basis of a result of sensing the second target vehicle by the at least one second sensor, and to output the secondary vehicle control signal.",2022-01-04,MANDO CORPORATION
11214245,Vehicle control apparatus,"A vehicle control apparatus includes a traveling controller and a determination unit. The traveling controller is configured to control driving force when a vehicle travels. The determination unit is configured to determine, in a case where an obstacle is detected on a road surface on which the vehicle travels, appropriateness of the vehicle passing over the obstacle. The traveling controller is configured to control the driving force of the vehicle to prevent the vehicle from passing over the obstacle in a case where the determination unit determines that it is inappropriate to pass over the obstacle.",2022-01-04,SUBARU CORPORATION
11214246,Driving assistance apparatus,"A driving assistance apparatus includes: an assistor configured to perform an avoidance assistance control when there is a target to avoid, ahead of a vehicle, to avoid a collision between the vehicle and the target; a predictor configured to predict that a deceleration operation of the vehicle will be performed, on the basis of a deceleration factor, which is different from the target and which is located in surroundings of the vehicle, when there is the target ahead of the vehicle; and a changer configured in such a manner that when it is predicted that the deceleration operation will be performed, the changer performs at least one of a process of reducing an assistance amount associated with the avoidance assistance control and a process of delaying start timing of the avoidance assistance control, in comparison with those when it is not predicted that the deceleration operation will be performed.",2022-01-04,TOYOTA JIDOSHA KABUSHIKI KAISHA
11214247,Vehicle control device,"The vehicle control device includes a target detection sensor and a control device that controls the operation of actuators. The target detection sensor can detect the relative speed of a target, positioned in a detectable area, with respect to the vehicle but cannot detect the relative speed when the target exists in a short distance area. The control device calculates the change amount of the relative speed per unit time. When the target enters the short-distance region, the control device calculates the estimated relative speed based on the elapsed time from the last acquisition time, which is the time when the relative speed of the target was last acquired from the target detection sensor, to the current time, the last acquired relative speed that is the relative speed of the target at the last acquisition time, and the time rate of change.",2022-01-04,TOYOTA JIDOSHA KABUSHIKI KAISHA
11214248,In-vehicle monitoring camera device,"An in-vehicle monitoring camera device 100 includes: an obstacle detection unit 3 that detects, as first obstacles, obstacles detected by a millimeter-wave radar 11 which might collide with the host vehicle; a collision risk determination unit 4 that detects the time before the respective first obstacles and the vehicle come into contact with each other; a distortion correction unit 2 that generates image 2 by correcting distortion in image 1 captured using a wide-angle lens; and a camera-viewpoint display control unit 5 that generates image 3 by cutting out, from image 2, an image of the first obstacle having the shortest time to collision. Therein, a radar chart 31 indicating the visual field range or the center direction of the visual field of image 3 is superimposed on image 3.",2022-01-04,Mitsubishi Electric Corporation
11214249,Method for performing a reaction to persons on vehicles,A method initiates a reaction of a first vehicle to a person in the environment of a second vehicle. The person is on a road on which the first vehicle is travelling and the second vehicle is detected. Measurement data determined by at least one sensor unit are received by a control unit. The control unit carries out a classification and registers the evaluated data as a person and as a second vehicle. Motion vectors of the person are determined and the expected movement of the person is calculated. A position and width of the vehicle doors of the second vehicle are determined or estimated on the basis of the measurement data. A probability of the person opening a vehicle door is calculated. A reaction of the first vehicle is initiated by the control unit depending on the calculated probability.,2022-01-04,Robert Bosch GmbH
11214250,Travel support device and non-transitory computer-readable medium,"A travel support device including a memory that stores section information including information on a position along a traveling direction of a lane and connection information, sign information indicating contents indicated by a sign, and related information including information associating the section information with the sign information, the related information further including specifying information and regulation information, and processing circuitry that specifies a current location of a vehicle using the sign information in response to determining that the specifying information indicates that the sign can be used to specify the position of the vehicle traveling at the predetermined point, and guides the vehicle using the sign information in response to determining that the regulation information indicates that the sign contents correspond to the regulation on the vehicle traveling at the predetermined point.",2022-01-04,"ZENRIN CO., LTD."
11214251,Speed control command auto-calibration system for autonomous vehicles,"According to some embodiments, a system receives a first control command and a speed measurement of the ADV. The system determines an expected acceleration of the ADV based on the speed measurement and the first control command. The system receives an acceleration measurement of the ADV. The system determines a feedback error based on the acceleration measurement and the expected acceleration. The system updates a portion of the calibration table based on the determined feedback error. The system generates a second control command to control the ADV based on the calibration table having the updated portion to control the ADV autonomously according to the second control command.",2022-01-04,"BAIDU USA LLC, BAIDU.COM TIMES TECHNOLOGY (BEIJING) CO., LTD."
11214252,"Vehicle control method and apparatus, vehicle, and storage medium","A vehicle control method is provided. In the method, a target driving speed and an actual driving speed of the vehicle are obtained. A control mode among candidate control modes is determined by the processing circuitry based on a comparison between the target driving speed and the actual driving speed. The candidate control modes includes a braking control mode, an acceleration control mode, and a stopping control mode. A throttle amount and a braking amount to change the actual driving speed to the target driving speed are determined by the processing circuitry. Further, the determined throttle amount and braking amount are applied to the vehicle based on the determined control mode.",2022-01-04,TENCENT TECHNOLOGY (SHENZHEN) COMPANY LIMITED
11214253,Longitudinal motion control of connected and automated vehicles,"The disclosure includes embodiments for providing a lookup table to improve performance of a consensus mechanism used in Connected and Automated Vehicle (CAV) technologies. In some embodiments, a method for a connected vehicle includes building a lookup table that is populated with control gain values for a consensus mechanism. The control gain values are created based on a satisfaction of one or more driving constraints by the consensus mechanism. The method includes receiving data describing an initial vehicle state related to a flow of vehicles. The method includes searching the lookup table for a set of control gain values based on the initial vehicle state. The method includes implementing the consensus mechanism on the flow of vehicles based on the set of control gain values so that behavior of the flow of vehicles is coordinated.",2022-01-04,null
11214254,Reutilization of regenerative braking energy for delaying an engine start event,"System, methods, and other embodiments described herein relate to delaying a start of an internal combustion engine (“ICE”) in a hybrid vehicle. In one embodiment, a method includes identifying a stopping location, a regenerative braking event that assists in stopping the hybrid vehicle at the stopping location, and an actual energy value based on a regenerative braking energy generated during the regenerative braking event. The method includes determining an estimated energy value, based on a predicted regenerative braking energy from a predicted braking event, that causes the hybrid vehicle to stop at the stopping location. The method includes determining an energy savings value based, at least in part, on a difference between the actual energy value and the estimated energy value. The method includes, responsive to the ICE being off, delaying the start of the ICE based, at least in part, on the energy savings.",2022-01-04,"Toyota Motor Engineering & Manufacturing North America, Inc."
11214255,Vehicle control device and vehicle control method,"A vehicle control device comprising: a balance gradient calculation unit configured to calculate a balance gradient that is a gradient at which a propulsive force of the vehicle and a resistance force applied to the vehicle are balanced when the vehicle travels in a gear-in coasting state in which an engine is connected to a gear and the vehicle travels without supplying fuel to the engine, in a case where a traveling state of the vehicle is a neutral coasting state; and a traveling control unit configured to: switch, based on the calculated balance gradient and a specified road gradient, the traveling state of the vehicle from the neutral coasting state to the gear-in coasting state in a case where the traveling state of the vehicle is the neutral coasting state; and end, the gear-in coasting state when determining that an end condition is satisfied.",2022-01-04,Isuzu Motors Limited
11214256,Apparatus and method for controlling lane change in vehicle,"An apparatus for controlling a lane change of a vehicle includes: a sensor to sense an external vehicle, an input device to receive a lane change command from a driver of the vehicle, and a control circuit to be electrically connected with the sensor and the input device. The control circuit may receive the lane change command using the input device, calculate a minimum operation speed for lane change control, and determine whether to accelerate the vehicle based on a distance between a preceding vehicle which is traveling on the same lane as the vehicle and the vehicle, when a driving speed of the vehicle is lower than the minimum operation speed when receiving the lane change command.",2022-01-04,"Kia Motors Corporation, Hyundai Motor Company"
11214257,Vehicle operation on an on-ramp,"It is determined that (a) a first vehicle is driving on a curve on a first road or, (b) by detecting a second road, a road boundary of the first road. It is further determined that there is (c) parallel traffic by determining that a second vehicle is moving in a lane of the second road adjacent to the first road, or (d) tangential traffic by detecting a third vehicle is moving tangentially to the curve. Upon determining that there is simultaneously at least one of (a) the first vehicle driving on the curve on the first road or (b) the road boundary of the first road, and at least one of (c) parallel traffic or (d) tangential traffic, then it is determined that the first vehicle is driving on an on-ramp.",2022-01-04,"Ford Global Technologies, LLC"
11214258,Driving assistance system and driving assistance device,"A yield amount of a vehicle is given notice of more accurately before two vehicles pass each other. In a driving assistance system, a yield amount calculation unit calculates a yield amount of a first vehicle on the basis of the width of the first vehicle, the width of a second vehicle, the current position of the first vehicle in the width direction detected by a first position detection unit, the passing position predicted by a passing position prediction unit, the road width at the passing position specified by a road width specification unit. The notification unit gives notice of the yield amount of the first vehicle at least in the first vehicle on the basis of the calculation result from the yield amount calculation unit.",2022-01-04,"Sumitomo Electric Industries, Ltd., Sumitomo Wiring Systems, Ltd., AUTONETWORKS TECHNOLOGIES, LTD."
11214259,Method for managing wheel slip in a vehicle,"A method of managing wheel slip in a vehicle. The vehicle has a frame, an internal combustion engine, front and rear wheels operatively connected to the engine, a throttle valve for controlling a supply of air to the engine, a steering assembly operatively connected to at least the front wheels for steering the vehicle, and an unassisted continuously variable transmission (CVT) operatively connecting the front wheels and the rear wheels to the engine. The method includes: determining a sensed deceleration of the vehicle; comparing the sensed deceleration of the vehicle to a threshold deceleration; and increasing a torque output of the engine from a current engine torque output value to an increased engine torque output value when the sensed deceleration of the vehicle is greater than the threshold deceleration. A method for managing wheel slip in accordance with a drive mode of the vehicle is also disclosed.",2022-01-04,Bombardier Recreational Products Inc.
11214260,"Method to control the execution of a shift to a lower gear with a released accelerator pedal in a drivetrain provided with a dual-clutch, servo-assisted transmission","A method to control the execution of a shift to a lower gear with a released accelerator pedal in a drivetrain provided with a dual-clutch, servo-assisted transmission; the following steps are provided: opening, in a first instant, an outgoing clutch; closing, in the first instant, an incoming clutch; completing the opening of the outgoing clutch with a first linear ramp in a second instant; synchronizing, between the second instant and a third instant, a rotation speed of the internal combustion engine with a rotation speed of the incoming clutch; closing of the incoming clutch with a second linear ramp starting from a fourth instant, which is prior to or coincides with the second instant; completing the closing of the incoming clutch in a fifth instant, which coincides with or is subsequent to the second instant; and activating the internal combustion engine so as to generate a torque between the fourth instant and the third instant.",2022-01-04,Ferrari S.p.A.
11214261,Learn association for multi-object tracking with multi sensory data and missing modalities,"Methods and apparatus are provided for detecting and assigning objects to sensed values. An object detection arrangement includes a processor that is programmed to execute a first branch of instructions and a second branch of instructions. Each branch of instructions includes receiving a modality from at least one sensor of a group of sensors via a respective interface and determining an output value based on the modality. The object detection arrangement includes an association distance matrix. Modalities of different branches of instructions define different modalities of an object external to the object detection arrangement. The object detection arrangement cumulates the output values, and the association distance matrix associates an object to the cumulated output values to thereby detect and track the object external to the object detection arrangement.",2022-01-04,GM GLOBAL TECHNOLOGY OPERATIONS LLC
11214262,Virtual soothing in a transportation vehicle,"Virtual soothing in a transportation vehicle is described, in which soothing a passenger in a vehicle may involve receiving monitoring data relevant to the passenger from a plurality of sensors in the vehicle, determining a soothing need or an emergency condition of the passenger based on the monitoring data, and presenting a multimedia message to the passenger that addresses the soothing need or the emergency condition. The multimedia message may be specific to the passenger and relevant to the soothing need or the emergency condition. The multimedia message may exhibit characteristics that enable the passenger to perceive the multimedia message as being verbally generated by a guardian with whom the passenger is personally acquainted.",2022-01-04,"Ford Global Technologies, LLC"
11214263,Management assistance system,"A management assistance system can include: an imaging device; a first monitoring device; a second monitoring device; an instruction terminal; and a server. The instructing terminal can be configured to determine whether or not the caution determination condition is satisfied based on first monitoring information transmitted from the first monitoring device and second monitoring information transmitted from the second monitoring device, and transmit a dashcam video cut instruction signal to the imaging device when determining that the caution determination condition is satisfied. The imaging device can extract information of a predetermined time width including a reception time of the dashcam video cut instruction signal from the continuous dashcam video information to create dashcam footage information, associates the dashcam footage information with date and time information and identification information, and transmits the dashcam footage information to the server.",2022-01-04,"HITACHI TRANSPORT SYSTEM, LTD."
11214264,System and method for measuring and reducing vehicle fuel waste,"One way to improve fuel efficiency of a vehicle is to detect the vehicle operational shortcomings related to fuel consumption by determining whether fuel used during operation of the vehicle is normal fuel use or wasted fuel use. Considerations of idling, speeding and inappropriate gear shifts are some ways to measure the amount of fuel wasted due to operator shortcomings. Communicating this information to the operator in real-time so adjustments can be made will improve vehicle fuel efficiency. These techniques are applicable to tracking employment of other driving best practices as well.",2022-01-04,Vnomics Corp.
11214265,Vehicle teleoperator ranking and selection,"A system provides on-demand remote support services including teleoperation of vehicles. In response to a remote support request, the system assesses environmental conditions, historical data, and/or parameters of a request for remote support to rank available operators capable of fulfilling the request, and selects an optimal operator for the remote support request based on desired criteria.",2022-01-04,Phantom Auto Inc.
11214266,Vehicle telematics based driving assessment,"Aspects of the disclosure relate to using vehicle telematics data to assess parameters associated with vehicle operation. In some instances, a driving assessment system may include a first computing device associated with a user in a vehicle and a second computing located remotely from the first computing device. The first computing device may collect, by way of one or more of an accelerometer and global positioning system (GPS), vehicle operational data and vehicle locational information associated with the vehicle and corresponding to a trip of the vehicle and may transmit such information to the second computing device. The second computing device may identify actionable and second order actionable trip data from the vehicle operational data and vehicle locational information and may calculate a behavior score for the trip.",2022-01-04,Allstate Insurance Company
11214267,Driving assistance system,"A driving assistance system includes a target sensor; an operation amount sensor; a speed sensor; and an electronic control unit. The electronic control unit is configured to perform pre-collision control when a predetermined control start condition is satisfied, and not to perform, even when the predetermined control start condition is satisfied, the pre-collision control when a permission condition has not been established by a point in time at which the predetermined control start condition is satisfied. The permission condition is that the accelerating operation amount is equal to or larger than a first operation amount threshold value and the vehicle speed is equal to or less than a speed threshold value.",2022-01-04,TOYOTA JIDOSHA KABUSHIKI KAISHA
11214268,Methods and apparatus for unsupervised multimodal anomaly detection for autonomous vehicles,"An example includes obtaining first sensor data from a first sensor and second sensor data from a second sensor, the first sensor of a first sensor type different than a second sensor type of the second sensor; generating first encoded sensor data based on the first sensor data and second encoded sensor data based on the second sensor data; generating a contextual fused sensor data representation of the first and second sensor data based on the first and second encoded sensor data; generating first and second reconstructed sensor data based on the contextual fused sensor data representation; determining a deviation estimation based on the first and second reconstructed sensor data, the deviation estimation representative of a deviation between: (a) the first reconstructed sensor data, and (b) the first sensor data; and detecting an anomaly in the deviation estimation, the anomaly indicative of an error associated with the first sensor.",2022-01-04,Intel Corporation
11214269,"In-vehicle information processing device, in-vehicle information processing system, and information processing  method","An in-vehicle information processing device according to an embodiment of the present technology includes a control unit. The control unit detects presence or absence of an abnormality of a first monitor that displays a first image captured by a first camera among a plurality of cameras that capture an image of a predetermined region including a rear side of a vehicle, and switches, when detecting the abnormality of the first monitor, from a first mode in which the first image is displayed on the first monitor to a second mode in which the first image is displayed on a second monitor different from the first monitor.",2022-01-04,Sony Corporation
11214270,Systems and methods for navigating vehicles with redundant navigation systems,"Systems, methods, and non-transitory computer-readable media can receive sensor data providing information about an environment surrounding a vehicle to a first computing system and a second computing system associated with the vehicle, wherein the first computing system and the second computing system are each capable of generating navigation instructions for the vehicle based on the received sensor data. A first planned trajectory is determined based on the sensor data by the first computing system. The vehicle is navigated by the first computing system based on the first planned trajectory. Control of the vehicle is transitioned from the first computing system to the second computing system based on a failure associated with the first computing system. An emulated trajectory is determined based on data describing a current motion of the vehicle by the second computing system. The vehicle is navigated by the second computing system based on the emulated trajectory.",2022-01-04,"Woven Planet North America, Inc."
11214271,Control system interface for autonomous vehicle,"A control system interface for a vehicle includes a primary processing unit and a secondary processing unit. The primary processing unit is configured to receive and process a trajectory generated by a trajectory computing unit for autonomous control of the vehicle. The secondary processing unit is configured to receive the trajectory concurrently with the primary processing unit, and to process the trajectory. Autonomous control of the vehicle is passed from the primary processing unit to the secondary processing unit in response to a fault condition with the primary processing unit.",2022-01-04,"AURORA OPERATIONS, INC."
11214272,Autonomous vehicle system for determining a pullover spot in response to detected local failure,The disclosure provides for a method for determining a pullover spot for a vehicle. The method includes using a computing device to detect information related to a system of the vehicle or an environment surrounding the vehicle using a sensor of a vehicle and determine a local failure of the vehicle based on the information. The computing device may then be used to determine that the vehicle should pullover before completing a current trip related to transporting a passenger or good by comparing vehicle requirements for the trip with the local failure and determine a pullover spot by identifying a first area for the vehicle to park in part based on a second area being available for a second vehicle to pick up the passenger or good. The computing device may operate the vehicle to the pullover spot and transmit a request for a second vehicle.,2022-01-04,Waymo LLC
11214273,Method of using a single controller (ECU) for a fault-tolerant/fail-operational self-driving system,"In a self-driving autonomous vehicle, a controller architecture includes multiple processors within the same box. Each processor monitors the others and takes appropriate safe action when needed. Some processors may run dormant or low priority redundant functions that become active when another processor is detected to have failed. The processors are independently powered and independently execute redundant algorithms from sensor data processing to actuation commands using different hardware capabilities (GPUs, processing cores, different input signals, etc.). Intentional hardware and software diversity improves fault tolerance. The resulting fault-tolerant/fail-operational system meets ISO26262 ASIL D specifications based on a single electronic controller unit platform that can be used for self-driving vehicles.",2022-01-04,NVIDIA Corporation
11214274,Transmission schedule segmentation and prioritization,"In one embodiment, a computing system receives sensor data from one or more sensors of a vehicle. The computing system determines a metric associated with the vehicle based on the received sensor data. The computing system determines, based on the metric, a length of a transmission cycle of a communication network of the vehicle. The transmission cycle comprises one or more scheduled time periods dedicated for transmitting data from respective first nodes in the communication network. The computing system configures the communication network of the vehicle based at least in part on the length of the transmission cycle to adjust respective occurrence frequencies of the scheduled time periods over multiple instances of the transmission cycle.",2022-01-04,"Woven Planet North America, Inc."
11214275,"Vehicles, systems, and methods for changing a vehicle driving mode","In one embodiment, a vehicle includes a steering wheel, one or more vehicle drive systems, one or more driving mode paddler shifters coupled to the steering wheel, an output device, and an electronic control unit. The electronic control unit is communicatively coupled to the one or more driving mode paddle shifters, the one or more vehicle drive systems, and the output device. The electronic control unit is configured to receive a drive mode shifting signal from the one or more driving mode paddle shifter indicative of a desire to change a driving mode of the vehicle, change one or more parameters of the one or more vehicle drive systems in order to change the driving mode in response to the driving mode shifting signal, and provide a notification related to the change in the driving mode with the output device.",2022-01-04,"Toyota Motor Engineering & Manufacturing North America, Inc."
11214276,Operating method for an emergency vehicle,"In an operating method for an emergency vehicle, especially a fire truck, having a vehicle body, a drive unit having a drive motor and a motor controller, front-wheel and rear-wheel pairs, an emergency aggregate, a signaling device, an illuminating device, and a mode-of-operation controller having a mode-of-operation selector switch having selectable operation modes and a memory with saved operating-data sets, by a sequence controller of the mode-of-operation controller, selecting a first operation mode corresponding to an emergency trip transmits from the memory to the target systems, and activates, first operating-data data sets. Selecting a second operation mode corresponding to an emergency mode deactivates the transmitted first operation mode operating-data sets, and transmits from the memory to the target systems, and activates, second operating-data sets. Selecting a third operation mode corresponding to a standard operation mode deactivates the transmitted data sets of the first, second or any further operation modes.",2022-01-04,Rosenbauer International AG
11214277,Control device for vehicle,A control device for a vehicle capable of switching between an automated driving mode in which driving force of a vehicle having a transmission is automatically controlled and a manual driving mode in which the driving force of the vehicle is controlled on the basis of a driver's operation on the vehicle includes: an operation element to which the driver's operation is input; and a travel control unit that outputs a command value for selecting a gear range of the transmission. The travel control unit selects which of ordinary gear change control and gear change restricting control is to be performed on the basis of an operation performed on the operation element when there is an automated driving release request in which the automated driving mode is released and the automated driving mode is switched to the manual driving mode during traveling of the vehicle in the automated driving mode.,2022-01-04,"HONDA MOTOR CO., LTD."
11214278,One-pedal drive system for a vehicle,"A vehicle includes an accelerator pedal, a brake pedal, an electric machine, friction brakes, and a controller. The electric machine is configured to propel the vehicle and to brake the vehicle during regenerative braking. The friction brakes are configured to brake the vehicle. The controller is programmed to, responsive to an operator selection of a one-pedal drive mode, decrease vehicle speed via regenerative braking in response to releasing the accelerator pedal. The controller is further programmed to transition the vehicle to an inhibit state in which the friction brakes are applied to prevent vehicle creep in response to receiving an automated signal to disable the one-pedal drive mode and vehicle speed becoming zero while the one-pedal drive mode is selected.",2022-01-04,"Ford Global Technologies, LLC"
11214279,Controlling the operation of a head-up display apparatus,"A method (900, 1000, 1200, 1300) of controlling the operation of a head-up display apparatus (302), a control apparatus (801), a system (302), a vehicle (101), a computer program (804) and a non-transitory computer readable medium (806) is disclosed. The method (900, 1000, 1200, 1300) comprises: obtaining first directional data indicative of a path of a vehicle (101, 101A, 101B); and adjusting the position of a graphical element (106) presented by the head-up display apparatus (302) in dependence on the first directional data.",2022-01-04,Jaguar Land Rover Limited
11214280,Autonomous vehicle providing driver education,"A method is disclosed for using an autonomous vehicle to teach a student how to drive. The method may include generating, by the autonomous vehicle during a training session, a plan for navigating a section of road. During the training session, the autonomous vehicle may receive control instructions from the student regarding how the student would like to navigate the section of road. If the autonomous vehicle determines that implementing the instructions would be safe and legal, it may implement those instructions. However, if the autonomous vehicle determines that implementing the instructions would not be safe and legal, it may execute the plan. During a training session, an autonomous vehicle may provide on a head-up display to the student certain visual feedback regarding a driving performance of the student.",2022-01-04,"Ford Global Technologies, LLC"
11214281,Sequential fusion for 3D object detection,"Techniques are provided for improving a perception processing pipeline for object detection that fuses image segmentation data (e.g., segmentation scores) with LiDAR points. The disclosed techniques are implemented using an architecture that accepts point clouds and images as input and estimates oriented 3D bounding boxes for all relevant object classes. In an embodiment, a method comprises: matching temporally, using one or more processors of a vehicle, points in a three-dimensional (3D) point cloud with an image; generating, using an image-based neural network, semantic data for the image; decorating, using the one or more processors, the points in the 3D point cloud with the semantic data; and estimating, using a 3D object detector with the decorated points as input, oriented 3D bounding boxes for the one or more objects.",2022-01-04,Motional AD LLC
11214282,Method and an article of manufacture for determining optimum operating points for power/cost and helium-air ratios in a tubular transportation system,A tubular transportation system is disclosed for transporting one or more passengers or one or more cargos via a capsule along a predetermined route. A method and an algorithm are described for determining optimum operating points for power/cost and helium-air ratios in a plurality of substantially evacuated tubes in a tubular transportation system for transporting one or more passengers or one or more cargos via a capsule along a predetermined route.,2022-01-04,"Hyperloop Transportation Technologies, Inc."
11214283,Tank system and vehicle,"A tank system includes an extraction device and a tank. The extraction device has an extraction line and an attachment device. The tank includes a tank top side having a fastening wall and a first tank top side section. The fastening wall and the first tank top side section delimit a tank interior space at the top side. The tank interior space can be filled with an exhaust-gas after-treatment liquid, the fastening wall is disposed obliquely to the first tank top side section, the fastening wall has a fastening surface and a tank opening, the attachment device is fastened to the fastening surface, and the extraction line is guided through the tank opening. A vehicle having the tank system is also provided.",2022-01-04,Siemens Mobility GmbH
11214284,Cargo transporting vehicle,"A cargo transporting vehicle configured to travel along a path of a work site is provided. The cargo transporting vehicle includes: a traveling unit configured to travel on the path; a plate configured to load a cargo thereon; a loading unit including at least an articulated arm structure in which a width and an extendable length are adjusted according to dimensions of the cargo, the articulated arm structure being configured to load and unload the cargo onto and from the plate; and a plate lifting unit configured to raise or lower the plate.",2022-01-04,LAB TO MARKET INC.
11214285,Track switching apparatus for rail trolleys,"The present invention relates to a track switching apparatus for rail trolleys. It comprises at least one linear track, a curved track connected to the at least one linear track, at least one switching region formed at a connection region of the linear track and the curved track, and at least one switching unit disposed in the at least one switching region.",2022-01-04,"Tien Heng Machinery Co., Ltd."
11214286,Parking or movement verification and monitoring system and method,"A parking verification system and method, a movement verification system and method, and a monitoring system and method for a train, or other transit vehicle.",2022-01-04,Westinghouse Air Brake Technologies Corporation
11214287,Warning system for detecting approaching object and method thereof,"A warning system for detecting approaching object and method thereof are provided. A detection unit detects a moving path of the approaching object; a storage unit stores a warning information including the warning area and the confirmation condition; and a processing unit receives the detection signal provided by the detection unit to acquire the current moving path of the approaching object. When the approaching object is detected as moving in the buffering zone, the confirmation operation of the confirmation condition is activated. When the moving path falls in the warning area and fulfills the confirmation condition, the processing unit sends out a warning signal. Therefore, a potentially dangerous approaching object is accurately identified, and the warning is correctly sent.",2022-01-04,CUBTEK INC.
11214288,Method and apparatus for a train control system,"A method and an apparatus for a train control system are disclosed, and are based on virtualization of train control logic and the use of cloud computing resources. A train control system is configured into two main parts. The first part includes physical elements of the train control system, and the second part includes a virtual train control system that provides the computing resources for the required train control application platforms. The disclosed architecture can be used with various train control technologies, including communications based train control, cab-signaling and fixed block, wayside signal technology. Further, the disclosure describes methodologies to convert cab-signaling and manual operations into distance to go operation.",2022-01-04,null
11214289,Multi-functional folding trolley,"A multi-functional folding trolley comprises a trolley frame including a front wall, two side walls, and a rear wall, wherein the front wall and the rear wall are formed by frames composed of connection rods, and the two side walls are formed by scissor-shaped connection rod assemblies. The multi-functional folding trolley further comprises an angle-adjustable trolley pushing mechanism connected to a rear upper part of the frame of the rear wall and an axle mechanism located at a rear lower part of the frame of the rear wall and having two sides respectively provided with tires capable of being assembled and disassembled rapidly. The two-wheeled multi-functional folding trolley of the invention is suitable for various occasions.",2022-01-04,ZHEJIANG NHU COMPANY LTD.
11214290,Shopping cart assembly,A shopping cart assembly includes a shopping cart for carrying purchased items in a retail environment. The shopping cart has a cage and a bottom shelf. A ramp is hingedly coupled to the cage of the shopping cart and the ramp is positionable in an open position for extending into a vehicle thereby facilitating the purchased items to be slid along the ramp into the vehicle for loading the purchased items into the vehicle. A counterweight unit is coupled to the shopping cart and the counterweight unit is actuated when the ramp is positioned in the open position. The counterweight unit transfers counterweight to an opposite side of the shopping cart with respect to the ramp when the counterweight unit is actuated to inhibit the shopping cart from tipping when the purchased items are unloaded from the shopping cart.,2022-01-04,null
11214291,Wagon with adapter for installing child seat,"A seat adapter removably mounts a child seat to a wagon having two opposing walls and an interposed connecting wall, and includes two latch components that mount to the wagon's opposing walls. In some embodiments, the seat adapter includes a cross-member extending between the latch components so that the cross-member provides structural integrity to the wagon if the connecting wall is displaced from its upright use position. In some embodiments, the seat adapter and the child seat can be mounted to the wagon for use with the connecting wall in its upright use position, and in some embodiments the seat adapter and the child seat can be mounted to the wagon for use whether the connecting wall is in its upright use position or its displaced position, with no mechanical interference between any part of the wagon and any part of the adapter or the child seat mounted to it.",2022-01-04,"VEER GEAR, LLC"
